category,category_theme_27
"Batteries,Other",Batteries & Storage
"Heat pumps,Batteries",Batteries & Storage
"Light-duty vehicles,Batteries",Batteries & Storage
"Heat pumps,Electric light-duty vehicles,Batteries",Batteries & Storage
"Electric light-duty vehicles,Batteries,Critical minerals",Batteries & Storage
"Electric light-duty vehicles,Batteries,Grants for new business scale-up,Grants for R&D projects",Batteries & Storage
"Batteries,Grants for R&D projects",Batteries & Storage
"Batteries,Critical minerals",Batteries & Storage
Batteries,Batteries & Storage
"Batteries,Thermal storage",Batteries & Storage
"Electric light-duty vehicles,Batteries",Batteries & Storage
Thermal storage,Batteries & Storage
New buildings,Buildings
"Existing buildings,Other",Buildings
Existing buildings,Buildings
"Existing buildings,New buildings",Buildings
"Emission Trading System (ETS),Oil and natural gas extraction,Coal and lignite mining",Carbon Pricing
Technology performance or cost targets,Carbon Pricing
"Emission Trading System (ETS),Oil and natural gas extraction",Carbon Pricing
Carbon tax,Carbon Pricing
Emission Trading System (ETS),Carbon Pricing
"Emission Trading System (ETS),Oil and natural gas extraction,Not applicable",Carbon Pricing
Tertiary / Higher education,Education & Workforce
Professional / Vocational training and certification,Education & Workforce
Electricity access,Energy Access
Clean cooking,Energy Access
"Clean cooking,Electricity access",Energy Access
Industrial motors,Energy Efficiency
Regulatory Sandboxes,Experimental Regulation
"Oil and natural gas extraction,Not applicable",Fossil Fuel Extraction
Biogas,Fossil Fuel Extraction
Coal and lignite mining,Fossil Fuel Extraction
Natural gas,Fossil Fuel Extraction
"Advanced biofuels,Biogas",Fossil Fuel Extraction
"Oil products,Natural gas",Fossil Fuel Extraction
Oil products,Fossil Fuel Extraction
"Advanced biofuels,Biogas,Grants for demonstration projects",Fossil Fuel Extraction
"Oil and natural gas extraction,Coal and lignite mining,Not applicable",Fossil Fuel Extraction
"Oil and natural gas extraction,Coal and lignite mining",Fossil Fuel Extraction
"Oil products,LNG",Fossil Fuel Extraction
Oil and natural gas extraction,Fossil Fuel Extraction
"Advanced biofuels,Biogas,Other",Fossil Fuel Extraction
Advanced biofuels,Fossil Fuel Products
"Advanced biofuels,Other",Fossil Fuel Products
"Advanced biofuels,Other,Grants for R&D projects",Fossil Fuel Products
"Advanced biofuels,Grants for R&D projects",Fossil Fuel Products
"Disclosure rules in funding agreements,Grants for demonstration projects",Grants & Public Funding
Grants for demonstration projects,Grants & Public Funding
Grants for new business scale-up,Grants & Public Funding
"Grants for new business scale-up,Funding to make testing facilities and technical expertise available to innovators",Grants & Public Funding
Grants to business incubators and accelerators,Grants & Public Funding
"Grants for new business scale-up,Connecting innovators and potential customers",Grants & Public Funding
"Grants for new business scale-up,Equity fund for start-ups",Grants & Public Funding
"Heat pumps,Air conditioners",Heat Pumps & HVAC
Air conditioners,Heat Pumps & HVAC
Heat pumps,Heat Pumps & HVAC
"Aircrafts,Other",Heavy Transport & Aviation
Ships,Heavy Transport & Aviation
Aircrafts,Heavy Transport & Aviation
"Medium/Heavy-duty vehicles,Ships",Heavy-duty Vehicles
"Buses,Urban transit",Heavy-duty Vehicles
Buses,Heavy-duty Vehicles
Medium/Heavy-duty vehicles,Heavy-duty Vehicles
"Medium/Heavy-duty vehicles,Buses",Heavy-duty Vehicles
"Medium/Heavy-duty vehicles,Buses,Urban transit",Heavy-duty Vehicles
"Hydro,Batteries",Hydro Power
"Hydro,Grants for R&D projects",Hydro Power
Hydro,Hydro Power
"Buses,Urban transit,Hydro",Hydro Power
"Existing buildings,Hydro",Hydro Power
"Light-duty vehicles,Buses,Hydro",Hydro Power
"Ships,Hydro",Hydro Power
"Hydro,Biogas,Other",Hydro Power
"Grants for R&D projects,Coal and lignite mining",Innovation & R&D
"Grants for demonstration projects,Grants for R&D projects,Technology showcases and events",Innovation & R&D
"Loans for private R&D,Loans for new business scale-up,Funding to make testing facilities and technical expertise available to innovators",Innovation & R&D
"Expert platforms to inform government,Platform for international R&D coordination",Innovation & R&D
Loans for private R&D,Innovation & R&D
"Grants for new business scale-up,Expert platforms to inform government,Grants for R&D projects",Innovation & R&D
"Funding for public research institutions,Connecting innovators and potential customers",Innovation & R&D
Grants for R&D projects (co-funded by more than one government),Innovation & R&D
"Awards to recognise innovation,Tertiary / Higher education",Innovation & R&D
R&D spending obligation,Innovation & R&D
Grants to independent R&D centres and regranters,Innovation & R&D
"Other,Grants for R&D projects (co-funded by more than one government)",Innovation & R&D
Awards to recognise innovation,Innovation & R&D
"Aircrafts,Grants for R&D projects",Innovation & R&D
"Aircrafts,Ships,Grants for R&D projects",Innovation & R&D
"Other,Grants to independent R&D centres and regranters",Innovation & R&D
"Expert platforms to inform government,Technology R&D roadmaps",Innovation & R&D
R&D tax incentives,Innovation & R&D
